상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점,긍정리뷰비율,부정리뷰비율,품질언급비율,가성비언급비율,배송언급비율,저평점비율,최근 30일 리뷰비율,품질(긍정),품질(부정),구성/가성비(긍정),구성/가성비(부정),배송(긍정),배송(부정)
12273094477,KF365,5,과일·채소,[KF365] 새콤달콤 제주 감귤 1.5kg (비가림),27,18905,1500,1260,1934,4.77,0.68,0.32,0.97,0.43,0.41,0.1,0.12,맛있음,맛,가성비,맛,배송,배송
12273055010,KF365,6,과일·채소,[KF365] 컷팅파인애플 1kg,39,10900,1000,1090,11578,4.71,0.46,0.54,0.98,0.36,0.55,0.53,0.11,맛있음,맛,가성비,배송,배송,배송
12773984680,KF365,7,쌀,[KF365] 밥상의 진미 쌀 10kg,10,35900,10000,359,442,4.9,0.91,0.09,0.96,0.55,0.55,0.01,0.08,맛있음,맛,가성비,가성비,배송,배송
12322306840,KF365,8,과일·채소,[KF365] 유명산지 고당도사과 1.5kg (5~6입),25,25900,1500,1727,159,4.74,0.9,0.1,0.96,0.58,0.42,0.0,0.13,맛있음,맛,가성비,가격,배송,배송
13019375338,KF365,9,과일·채소,[KF365] 당도선별 한라봉 1kg (3~5입),21,10900,1000,1090,327,4.63,0.85,0.15,0.97,0.46,0.39,0.0,0.07,맛있음,맛,가성비,맛,배송,배송
12274566117,KF365,10,쌀,[KF365] 밥상의 진미 쌀 4kg,0,17900,4000,447,0,0.0,0.92,0.08,0.92,0.51,0.44,0.0,0.1,맛,맛,가성비,가성비,배송,평범
12274345118,KF365,11,과일·채소,[KF365] 완숙토마토 2kg,10,17900,2000,895,497,4.8,0.84,0.16,0.94,0.37,0.41,0.03,0.09,신선함,맛,가성비,가성비,배송,배송
12274644877,KF365,12,과일·채소,[KF365] 컷팅파인애플 청크 500g,28,8490,500,45846,314,4.84,0.87,0.13,0.96,0.42,0.36,0.0,0.16,맛있음,맛,가성비,가격,배송,배송
12274643558,KF365,13,과일·채소,[KF365] 컷팅파인애플 원통 500g,28,8490,500,45846,191,4.79,0.11,0.89,1.0,0.33,0.67,0.33,0.11,맛,가격,가성비,가격,배송,배송
12274423350,KF365,14,과일·채소,[KF365] 머스크멜론 1.6kg (후숙 필요),25,29900,1600,1869,348,4.68,0.07,0.93,0.96,0.32,0.39,0.46,0.18,구매만족,맛,기대,맛없음,배송,배송
13020568312,KF365,15,과일·채소,[KF365] 16brix이상 고당도 적포도 500g,11,7990,500,15980,158,4.73,0.0,1.0,1.0,0.33,0.44,0.44,0.11,키워드 없음,껍질두꺼움,키워드 없음,떫은맛,키워드 없음,배송
13052714693,KF365,17,과일·채소,[KF365] 16brix이상 고당도 청포도 500g,11,7990,500,15980,253,4.66,0.77,0.23,0.96,0.45,0.39,0.04,0.03,맛있음,맛,가성비,가성비,배송,배송
12867279645,KF365,18,쌀,[KF365] 찰현미 2kg,0,12900,2000,645,55,4.76,0.88,0.12,0.94,0.35,0.41,0.0,0.08,맛,맛,가성비,가성비,배송,배송
12273041919,KF365,22,쌀,[KF365] 유기농 백미 4kg,0,26900,4000,672,142,4.85,0.86,0.14,0.95,0.5,0.51,0.01,0.14,맛,맛,가성비,도정상태,배송,배송
12274598765,KF365,23,쌀,[KF365] 찰현미 4kg,0,24900,4000,622,25,4.88,0.87,0.13,0.96,0.39,0.61,0.0,0.26,맛,맛,가성비,키워드 없음,배송,배송
13110148029,KF365,24,쌀,[KF365] 밥상의 진미 20kg,1,73900,20000,370,12,4.33,0.5,0.5,0.9,0.5,0.6,0.1,0.0,포장꼼꼼,맛,가격좋음,가성비,배송,배송
12576540123,KF365,25,과일·채소,[KF365] 새콤달콤 당도선별 제주 비가림 감귤 2.5kg (로얄과),27,30900,2500,1236,5029,4.75,0.5,0.5,0.98,0.44,0.42,0.24,0.14,맛있음,맛없음,가성비,가격,배송,배송
12346827511,KF365,26,과일·채소,[KF365] 유명산지 샤인머스캣500g,43,12900,500,108360,1203,4.7,0.67,0.33,0.96,0.48,0.47,0.14,0.09,맛있음,신선도,가성비,가격,배송,배송
12274560654,KF365,1,과일·채소,[KF365] 무농약 국산콩 콩나물 300g,11,1490,300,4967,7957,4.75,0.48,0.52,0.95,0.35,0.49,0.33,0.13,신선함,신선도,가성비,가성비,배송,배송
12273067758,KF365,2,과일·채소,[KF365] 애호박 1개,10,2241,1,2016900,5503,4.85,0.91,0.09,0.97,0.5,0.52,0.0,0.0,신선함,가격,가성비,가격,배송,배송
12274372870,KF365,3,과일·채소,[KF365] 백다다기오이 3입,10,3591,3,1077300,4905,4.8,0.92,0.08,0.96,0.46,0.47,0.0,0.0,신선함,맛,가성비,가성비,배송,배송
12273066792,KF365,4,과일·채소,[KF365] 감자 1kg (겨울 하우스 햇),7,6490,1000,649,4591,4.84,0.92,0.08,0.96,0.42,0.44,0.0,0.0,신선함,맛,가성비,가성비,배송,배송
12274343025,KF365,5,과일·채소,[KF365] 호박고구마 800g,6,5590,800,3494,5717,4.79,0.17,0.83,0.94,0.32,0.41,0.39,0.21,맛,맛,가성비,가격,배송,배송
12274346596,KF365,6,과일·채소,[KF365] 무 1입(1kg),12,2631,1000,263,1954,4.82,0.21,0.79,0.93,0.38,0.44,0.28,0.16,맛,크기,가격만족,가격,배송,배송
12273067062,KF365,7,과일·채소,[KF365] 깐마늘 200g,0,3490,200,1745,3153,4.87,0.81,0.19,0.92,0.46,0.46,0.03,0.03,맛,맛,가성비,가격,배송,배송
12271399975,KF365,8,과일·채소,[KF365] 파프리카 2입,25,4490,300,1497,1750,4.86,0.24,0.76,0.86,0.48,0.52,0.31,0.03,신선함,신선도,가성비,가성비없음,배송,배송
12274358913,KF365,9,과일·채소,[KF365] 깻잎 30g,8,1540,30,35933,1643,4.66,0.05,0.95,0.99,0.22,0.74,0.71,0.19,신선,신선도,가격,배송,배송,배송
12275466779,KF365,10,과일·채소,[KF365] 부추 200g,6,2790,200,6975,2269,4.88,0.43,0.57,1.0,0.36,0.53,0.15,0.19,신선함,신선도,가성비,가성비,배송,배송
